"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2481","Player can scroll to view more missions","player auth","Fri May 15 13:40:07 UTC 2026","passed","Fri May 15 13:40:09 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","1","Clicking a member opens the correct conversation","player auth","Fri May 15 13:43:32 UTC 2026","skipped","Fri May 15 13:43:32 UTC 2026","Project Team Chat functionality","specs/player/workflow/project-teamchat.spec.ts","",""
"","1","user should always signin as mentor even if he logged out as a player","mentor auth","Fri May 15 13:44:01 UTC 2026","skipped","Fri May 15 13:44:01 UTC 2026","","specs/mentor/user-menu.spec.ts","",""
"","1820","should mission card display correct details","player auth","Fri May 15 13:40:05 UTC 2026","passed","Fri May 15 13:40:07 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","8432","progress workflow is displayed","player auth","Fri May 15 13:43:53 UTC 2026","failed","Fri May 15 13:44:01 UTC 2026","project phases functionality","specs/player/workflow/project-workflow-phase.spec.ts","",""
"","5019","Fallback message is shown when no missions exist","player auth","Fri May 15 13:40:09 UTC 2026","passed","Fri May 15 13:40:14 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","335","No content fallback","player auth","Fri May 15 13:40:18 UTC 2026","passed","Fri May 15 13:40:18 UTC 2026","","specs/player/project/project.spec.ts","",""
"","5557","should be able to start game step,play the game and complete the mission","player auth","Fri May 15 13:40:38 UTC 2026","passed","Fri May 15 13:40:43 UTC 2026","Mission workflow > mission of type game","specs/player/missions/mission.spec.ts","",""
"","4354","download should not be allowed before starting the mission","player auth","Fri May 15 13:40:27 UTC 2026","passed","Fri May 15 13:40:32 UTC 2026","Mission workflow > mission of type 'doc to read'","specs/player/missions/mission.spec.ts","",""
"","0","Available mission shows a not started indicator","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","7087","links should have correct locale param based on the chosen language","player auth","Fri May 15 13:41:41 UTC 2026","failed","Fri May 15 13:41:48 UTC 2026","i18n functionality","specs/player/topbar/topbar-locale.spec.ts","",""
"","7942","should not to upload file larger than the file size limit","player auth","Fri May 15 13:41:01 UTC 2026","passed","Fri May 15 13:41:09 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","3400","Arena workflow","player auth","Fri May 15 13:39:49 UTC 2026","passed","Fri May 15 13:39:52 UTC 2026","","specs/player/arena/arena.spec.ts","",""
"","3293","should download a resource from the resources panel","player auth","Fri May 15 13:40:14 UTC 2026","passed","Fri May 15 13:40:18 UTC 2026","dashboard resources","specs/player/dashboard/dashboard-resources.spec.ts","",""
"","1","Quick access card displays correct details","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","3424","testing with correct credentials","public","Fri May 15 13:39:25 UTC 2026","passed","Fri May 15 13:39:28 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","4935","resources panel is visible on the dashboard","player auth","Fri May 15 13:40:10 UTC 2026","passed","Fri May 15 13:40:15 UTC 2026","dashboard resources","specs/player/dashboard/dashboard-resources.spec.ts","",""
"","0","Fallback message is shown when no quick access items exist","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","5631","metrics values should be updated after a mission is completed","player auth","Fri May 15 13:39:55 UTC 2026","passed","Fri May 15 13:40:01 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","4102","user should be able to sign-out","auth-user","Fri May 15 13:39:41 UTC 2026","passed","Fri May 15 13:39:45 UTC 2026","","specs/authenticated user/Sign-out.spec.ts","",""
"","2482","should display fallback state on API error","player auth","Fri May 15 13:40:01 UTC 2026","passed","Fri May 15 13:40:03 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","3738","player auth setup","player","Fri May 15 13:39:19 UTC 2026","passed","Fri May 15 13:39:23 UTC 2026","","specs/auth-setup/player.setup.ts","",""
"","0","Team chat and members are visible in the arena","player auth","Fri May 15 13:43:32 UTC 2026","skipped","Fri May 15 13:43:32 UTC 2026","Project Team Chat functionality","specs/player/workflow/project-teamchat.spec.ts","",""
"","0","mentor should have a dropdown menu with roles player and mentor","mentor auth","Fri May 15 13:44:01 UTC 2026","skipped","Fri May 15 13:44:01 UTC 2026","","specs/mentor/user-menu.spec.ts","",""
"","13047","user should be able to update username","auth-user","Fri May 15 13:39:41 UTC 2026","passed","Fri May 15 13:39:54 UTC 2026","","specs/authenticated user/settings/settings.spec.ts","",""
"","0","Expired mission shows expired indicator","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","7107","notification workflow","player auth","Fri May 15 13:41:49 UTC 2026","passed","Fri May 15 13:41:56 UTC 2026","notification functionality","specs/player/topbar/topbar-notifications.spec.ts","",""
"","7651","should not allow to upload file without adding description","player auth","Fri May 15 13:41:09 UTC 2026","passed","Fri May 15 13:41:16 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","11667","should block the submit button after 5 failed attempts","public","Fri May 15 13:39:28 UTC 2026","passed","Fri May 15 13:39:40 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","8039","should not allow to upload unsupported file type","player auth","Fri May 15 13:41:16 UTC 2026","passed","Fri May 15 13:41:24 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","5948","should be able to visualize media","player auth","Fri May 15 13:40:32 UTC 2026","passed","Fri May 15 13:40:38 UTC 2026","Mission workflow > mission of type media","specs/player/missions/mission.spec.ts","",""
"","0","Completed mission shows completed indicator","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","1700","No content fallback","player auth","Fri May 15 13:40:03 UTC 2026","passed","Fri May 15 13:40:05 UTC 2026","dashboard overview","specs/player/dashboard/dashboard-Overview.spec.ts","",""
"","3687","mentor auth setup","mentor","Fri May 15 13:39:19 UTC 2026","passed","Fri May 15 13:39:23 UTC 2026","","specs/auth-setup/mentor.setup.ts","",""
"","31034","should change language to english","player auth","Fri May 15 13:41:23 UTC 2026","broken","Fri May 15 13:41:54 UTC 2026","i18n functionality","specs/player/topbar/topbar-locale.spec.ts","",""
"","2847","should display correct metrics values","player auth","Fri May 15 13:39:52 UTC 2026","passed","Fri May 15 13:39:55 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","4194","user should be able to navigate to the mission details page on click","player auth","Fri May 15 13:40:15 UTC 2026","passed","Fri May 15 13:40:20 UTC 2026","Mission workflow","specs/player/missions/mission.spec.ts","",""
"","3480","testing with wrong email","public","Fri May 15 13:39:25 UTC 2026","passed","Fri May 15 13:39:28 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","31163","should view corresponding missions of a phase when clicking on it","player auth","Fri May 15 13:44:38 UTC 2026","broken","Fri May 15 13:45:10 UTC 2026","project phases functionality","specs/player/workflow/project-workflow-phase.spec.ts","",""
"","10643","should be able to upload file, add file description and complete the mission","player auth","Fri May 15 13:40:50 UTC 2026","passed","Fri May 15 13:41:01 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","31115","should open the help panel","player auth","Fri May 15 13:43:01 UTC 2026","broken","Fri May 15 13:43:32 UTC 2026","help and support functionalities","specs/player/topbar/topbar-support-help.spec.ts","",""
"","31121","should open the support panel","player auth","Fri May 15 13:43:01 UTC 2026","broken","Fri May 15 13:43:32 UTC 2026","help and support functionalities","specs/player/topbar/topbar-support-help.spec.ts","",""
"","1","update password for anonymous users","public","Fri May 15 13:39:28 UTC 2026","skipped","Fri May 15 13:39:28 UTC 2026","","specs/public/new-user-password.spec.ts","",""
"","12508","user should be able to update password","auth-user","Fri May 15 13:39:57 UTC 2026","passed","Fri May 15 13:40:10 UTC 2026","","specs/authenticated user/settings/settings.spec.ts","",""
"","7724","should be able to download file after mission starts","player auth","Fri May 15 13:40:20 UTC 2026","passed","Fri May 15 13:40:27 UTC 2026","Mission workflow > mission of type 'doc to read'","specs/player/missions/mission.spec.ts","",""
"","0","Quick access panel and items are visible","player auth","Fri May 15 13:40:05 UTC 2026","skipped","Fri May 15 13:40:05 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","6848","should be able to check tasks and complete mission","player auth","Fri May 15 13:40:43 UTC 2026","passed","Fri May 15 13:40:50 UTC 2026","Mission workflow > mission of type tasks","specs/player/missions/mission.spec.ts","",""
